Name,Total Time,Total Time (CPU),Hits
Monitor Ctrl-Break,"75,998 ms (-0%)","75,998 ms (-0%)",1
 com.intellij.rt.execution.application.AppMainV2$1.run (),"75,998 ms (-0%)","75,998 ms (-0%)",1
  java.io.BufferedReader.readLine (),"75,998 ms (-0%)","75,998 ms (-0%)",1
  Self time,0.0 ms (0%),0.0 ms (0%),1
Catalina-utility-1,"75,998 ms (-0%)",0.0 ms (0%),1
 java.lang.Thread.run (),"75,998 ms (-0%)",0.0 ms (0%),1
  org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run (),"75,998 ms (-0%)",0.0 ms (0%),1
   java.util.concurrent.ThreadPoolExecutor$Worker.run (),"75,998 ms (-0%)",0.0 ms (0%),1
   Self time,0.0 ms (0%),0.0 ms (0%),1
  Self time,0.0 ms (0%),0.0 ms (0%),1
Catalina-utility-2,"75,998 ms (-0%)",0.0 ms (0%),1
 java.lang.Thread.run (),"75,998 ms (-0%)",0.0 ms (0%),1
  org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run (),"75,998 ms (-0%)",0.0 ms (0%),1
   java.util.concurrent.ThreadPoolExecutor$Worker.run (),"75,998 ms (-0%)",0.0 ms (0%),1
   Self time,0.0 ms (0%),0.0 ms (0%),1
  Self time,0.0 ms (0%),0.0 ms (0%),1
container-0,"75,998 ms (-0%)",0.0 ms (0%),1
 org.springframework.boot.web.embedded.tomcat.TomcatWebServer$1.run (),"75,998 ms (-0%)",0.0 ms (0%),1
  org.apache.catalina.core.StandardServer.await (),"75,998 ms (-0%)",0.0 ms (0%),1
   java.lang.Thread.sleep[native] (),"75,998 ms (-0%)",0.0 ms (0%),1
   Self time,0.0 ms (0%),0.0 ms (0%),1
  Self time,0.0 ms (0%),0.0 ms (0%),1
mysql-cj-abandoned-connection-cleanup,"75,998 ms (-0%)",0.0 ms (0%),1
 java.lang.Thread.run (),"75,998 ms (-0%)",0.0 ms (0%),1
  java.util.concurrent.ThreadPoolExecutor$Worker.run (),"75,998 ms (-0%)",0.0 ms (0%),1
   java.util.concurrent.ThreadPoolExecutor.runWorker (),"75,998 ms (-0%)",0.0 ms (0%),1
    com.mysql.cj.jdbc.AbandonedConnectionCleanupThread.run (),"75,998 ms (-0%)",0.0 ms (0%),1
     java.lang.ref.ReferenceQueue.remove (),"75,998 ms (-0%)",0.0 ms (0%),1
     Self time,0.0 ms (0%),0.0 ms (0%),1
    Self time,0.0 ms (0%),0.0 ms (0%),1
   Self time,0.0 ms (0%),0.0 ms (0%),1
  Self time,0.0 ms (0%),0.0 ms (0%),1
File Watcher,"75,998 ms (-0%)",894 ms (-0%),1
 java.lang.Thread.run (),"75,998 ms (-0%)",894 ms (-0%),1
  org.springframework.boot.devtools.filewatch.FileSystemWatcher$Watcher.run (),"75,998 ms (-0%)",894 ms (-0%),1
   org.springframework.boot.devtools.filewatch.FileSystemWatcher$Watcher.scan (),"75,998 ms (-0%)",894 ms (-0%),1
    java.lang.Thread.sleep[native] (),"75,103 ms (-0%)",0.0 ms (0%),149
    org.springframework.boot.devtools.filewatch.FileSystemWatcher$Watcher.getCurrentSnapshots (),894 ms (-0%),894 ms (-0%),9
     org.springframework.boot.devtools.filewatch.DirectorySnapshot.<init> (),894 ms (-0%),894 ms (-0%),9
      org.springframework.boot.devtools.filewatch.DirectorySnapshot.collectFiles (),894 ms (-0%),894 ms (-0%),9
       org.springframework.boot.devtools.filewatch.DirectorySnapshot.collectFiles (),488 ms (-0%),488 ms (-0%),5
        java.io.File.listFiles (),394 ms (-0%),394 ms (-0%),4
        org.springframework.boot.devtools.filewatch.DirectorySnapshot.collectFiles (),94.5 ms (-0%),94.5 ms (-0%),1
         java.io.File.listFiles (),94.5 ms (-0%),94.5 ms (-0%),1
         Self time,0.0 ms (0%),0.0 ms (0%),1
        Self time,0.0 ms (0%),0.0 ms (0%),5
       org.springframework.boot.devtools.filewatch.FileSnapshot.<init> (),212 ms (-0%),212 ms (-0%),2
        java.io.File.isFile (),108 ms (-0%),108 ms (-0%),1
        java.io.File.lastModified (),104 ms (-0%),104 ms (-0%),1
        Self time,0.0 ms (0%),0.0 ms (0%),2
       java.io.File.listFiles (),100 ms (-0%),100 ms (-0%),1
       java.io.File.isDirectory (),93.1 ms (-0%),93.1 ms (-0%),1
       Self time,0.0 ms (0%),0.0 ms (0%),9
      Self time,0.0 ms (0%),0.0 ms (0%),9
     Self time,0.0 ms (0%),0.0 ms (0%),9
    Self time,0.0 ms (0%),0.0 ms (0%),1
   Self time,0.0 ms (0%),0.0 ms (0%),1
  Self time,0.0 ms (0%),0.0 ms (0%),1
Live Reload Server,"75,998 ms (-0%)",0.0 ms (0%),1
 java.lang.Thread.run (),"75,998 ms (-0%)",0.0 ms (0%),1
  org.springframework.boot.devtools.livereload.LiveReloadServer$$Lambda$783.0x000000080106ba88.run (),"75,998 ms (-0%)",0.0 ms (0%),1
   org.springframework.boot.devtools.livereload.LiveReloadServer.acceptConnections (),"75,998 ms (-0%)",0.0 ms (0%),1
    java.net.ServerSocket.accept (),"75,998 ms (-0%)",0.0 ms (0%),1
    Self time,0.0 ms (0%),0.0 ms (0%),1
   Self time,0.0 ms (0%),0.0 ms (0%),1
  Self time,0.0 ms (0%),0.0 ms (0%),1
http-nio-8080-BlockPoller,"75,998 ms (-0%)",0.0 ms (0%),1
 org.apache.tomcat.util.net.NioBlockingSelector$BlockPoller.run (),"75,998 ms (-0%)",0.0 ms (0%),1
  sun.nio.ch.SelectorImpl.select (),"75,998 ms (-0%)",0.0 ms (0%),1
  Self time,0.0 ms (0%),0.0 ms (0%),1
http-nio-8080-exec-1,"75,998 ms (-0%)",89.9 ms (-0%),1
 java.lang.Thread.run (),"75,998 ms (-0%)",89.9 ms (-0%),1
  org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run (),"75,998 ms (-0%)",89.9 ms (-0%),1
   java.util.concurrent.ThreadPoolExecutor$Worker.run (),"75,998 ms (-0%)",89.9 ms (-0%),1
    java.util.concurrent.ThreadPoolExecutor.runWorker (),"75,998 ms (-0%)",89.9 ms (-0%),1
     java.util.concurrent.ThreadPoolExecutor.getTask (),"75,908 ms (-0%)",0.0 ms (0%),2
      org.apache.tomcat.util.threads.TaskQueue.take (),"75,908 ms (-0%)",0.0 ms (0%),2
