Name,Live Bytes,Live Objects
byte[],"22,977,592 B (32.9%)","364,197 (23%)"
java.lang.String,"5,713,488 B (8.2%)","238,062 (15%)"
java.lang.Object[],"3,537,176 B (5.1%)","98,260 (6.2%)"
int[],"3,193,520 B (4.6%)","25,728 (1.6%)"
char[],"2,996,208 B (4.3%)","10,638 (0.7%)"
java.lang.reflect.Method,"2,647,656 B (3.8%)","30,087 (1.9%)"
java.lang.StringBuilder,"1,554,264 B (2.2%)","64,761 (4.1%)"
java.lang.Class,"1,511,640 B (2.2%)","12,742 (0.8%)"
java.util.concurrent.ConcurrentHashMap$Node,"1,509,568 B (2.2%)","47,174 (3%)"
java.util.LinkedHashMap$Entry,"1,072,240 B (1.5%)","26,806 (1.7%)"
java.util.HashMap$Node[],"959,752 B (1.4%)","12,537 (0.8%)"
java.util.ArrayList,"750,408 B (1.1%)","31,267 (2%)"
java.util.HashMap$Node,"699,616 B (1%)","21,863 (1.4%)"
java.lang.Class[],"683,488 B (1%)","30,301 (1.9%)"
java.util.concurrent.ConcurrentHashMap$Node[],"668,024 B (1%)",885 (0.1%)
java.util.ArrayList$Itr,"648,128 B (0.9%)","20,254 (1.3%)"
org.springframework.core.ResolvableType,"542,832 B (0.8%)","11,309 (0.7%)"
java.util.TreeMap$Entry,"531,240 B (0.8%)","13,281 (0.8%)"
java.util.LinkedHashMap,"523,040 B (0.7%)","9,340 (0.6%)"
org.springframework.expression.TypedValue,"456,816 B (0.7%)","19,034 (1.2%)"
java.lang.String[],"448,016 B (0.6%)","13,221 (0.8%)"
org.thymeleaf.engine.OpenElementTag,"334,800 B (0.5%)","6,975 (0.4%)"
org.springframework.expression.spel.support.ReflectivePropertyAccessor$PropertyCacheKey,"323,904 B (0.5%)","13,496 (0.9%)"
org.thymeleaf.engine.IEngineTemplateEvent[],"320,760 B (0.5%)","1,485 (0.1%)"
java.lang.Object,"314,208 B (0.5%)","19,638 (1.2%)"
org.thymeleaf.engine.ElementProcessorIterator,"302,400 B (0.4%)","6,300 (0.4%)"
java.lang.reflect.Field,"298,296 B (0.4%)","4,143 (0.3%)"
java.util.HashMap,"297,456 B (0.4%)","6,197 (0.4%)"
org.thymeleaf.engine.Text,"259,560 B (0.4%)","4,635 (0.3%)"
java.util.concurrent.ConcurrentHashMap,"250,816 B (0.4%)","3,919 (0.2%)"
org.thymeleaf.processor.element.IElementProcessor[],"249,456 B (0.4%)","8,809 (0.6%)"
java.nio.HeapByteBuffer,"231,168 B (0.3%)","4,128 (0.3%)"
java.util.Formatter$FixedString,"225,920 B (0.3%)","7,060 (0.4%)"
org.springframework.expression.spel.ast.PropertyOrFieldReference$AccessorLValue,"214,560 B (0.3%)","6,705 (0.4%)"
java.util.Formatter$FormatSpecifier,"211,800 B (0.3%)","5,295 (0.3%)"
java.util.Formatter$Flags[],"211,800 B (0.3%)","5,295 (0.3%)"
boolean[],"205,424 B (0.3%)","7,494 (0.5%)"
org.thymeleaf.engine.ProcessorExecutionVars,"201,600 B (0.3%)","6,300 (0.4%)"
org.springframework.expression.spel.ExpressionState,"188,920 B (0.3%)","4,723 (0.3%)"
java.lang.reflect.Method[],"188,576 B (0.3%)","2,942 (0.2%)"
java.io.ObjectStreamClass$WeakClassKey,"185,824 B (0.3%)","5,807 (0.4%)"
org.springframework.core.convert.TypeDescriptor$AnnotatedElementAdapter,"182,448 B (0.3%)","7,602 (0.5%)"
org.springframework.core.convert.TypeDescriptor,"182,184 B (0.3%)","7,591 (0.5%)"
java.util.regex.Matcher,"174,600 B (0.3%)","2,425 (0.2%)"
org.thymeleaf.engine.Attribute,"172,800 B (0.2%)","3,600 (0.2%)"
java.util.LinkedHashMap$LinkedKeyIterator,"165,472 B (0.2%)","5,171 (0.3%)"
org.springframework.expression.spel.support.ReflectivePropertyAccessor$OptimalPropertyAccessor,"162,552 B (0.2%)","6,773 (0.4%)"
org.springframework.util.ConcurrentReferenceHashMap$SoftEntryReference,"161,904 B (0.2%)","3,373 (0.2%)"
java.lang.annotation.Annotation[],"158,592 B (0.2%)","8,075 (0.5%)"
java.lang.ref.SoftReference,"152,440 B (0.2%)","3,811 (0.2%)"
java.lang.invoke.MemberName,"145,584 B (0.2%)","3,033 (0.2%)"
java.lang.Class$ReflectionData,"138,496 B (0.2%)","2,164 (0.1%)"
org.springframework.core.ResolvableType$DefaultVariableResolver,"138,320 B (0.2%)","8,645 (0.5%)"
org.thymeleaf.engine.Attribute[],"134,656 B (0.2%)","5,536 (0.3%)"
java.lang.reflect.Constructor,"134,064 B (0.2%)","1,862 (0.1%)"
ch.qos.logback.classic.spi.LoggingEvent,"133,488 B (0.2%)","1,854 (0.1%)"
org.thymeleaf.engine.Attributes,"132,864 B (0.2%)","5,536 (0.3%)"
org.springframework.core.MethodClassKey,"122,136 B (0.2%)","5,089 (0.3%)"
org.thymeleaf.cache.ExpressionCacheKey,"120,032 B (0.2%)","3,751 (0.2%)"
java.nio.StringCharBuffer,"117,040 B (0.2%)","2,090 (0.1%)"
char[][],"113,208 B (0.2%)","2,378 (0.2%)"
com.mysql.cj.jdbc.result.ResultSetImpl,"110,656 B (0.2%)",532 (0%)
org.thymeleaf.spring5.expression.SPELContextMapWrapper,"108,000 B (0.2%)","4,500 (0.3%)"
java.util.ArrayDeque,"104,472 B (0.1%)","4,353 (0.3%)"
org.thymeleaf.engine.CloseElementTag,"99,360 B (0.1%)","2,070 (0.1%)"
long[],"98,400 B (0.1%)",181 (0%)
java.lang.invoke.MethodType,"95,040 B (0.1%)","2,376 (0.2%)"
org.springframework.util.ConcurrentReferenceHashMap$Reference[],"90,264 B (0.1%)","2,022 (0.1%)"
com.mysql.cj.util.LazyString,"88,192 B (0.1%)","2,756 (0.2%)"
org.springframework.util.ConcurrentReferenceHashMap$Entry,"85,488 B (0.1%)","3,562 (0.2%)"
java.util.Formatter$Flags,"84,880 B (0.1%)","5,305 (0.3%)"
jdk.internal.math.FloatingDecimal$ASCIIToBinaryBuffer,"83,680 B (0.1%)","2,615 (0.2%)"
java.lang.ref.WeakReference,"80,064 B (0.1%)","2,502 (0.2%)"
java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry,"76,128 B (0.1%)","2,379 (0.2%)"
org.springframework.util.ConcurrentReferenceHashMap$Segment,"75,520 B (0.1%)","1,888 (0.1%)"
java.util.LinkedHashMap$LinkedEntryIterator,"69,728 B (0.1%)","2,179 (0.1%)"
org.apache.logging.log4j.message.StringFormattedMessage,"68,840 B (0.1%)","1,721 (0.1%)"
java.lang.ref.ReferenceQueue,"67,872 B (0.1%)","2,121 (0.1%)"
java.util.concurrent.locks.ReentrantLock$NonfairSync,"67,200 B (0.1%)","2,100 (0.1%)"
java.util.TreeMap,"63,552 B (0.1%)","1,324 (0.1%)"
sun.util.locale.LocaleObjectCache$CacheEntry,"62,640 B (0.1%)","1,566 (0.1%)"
java.util.TreeMap$KeyIterator,"62,496 B (0.1%)","1,953 (0.1%)"
org.springframework.core.MethodParameter,"60,928 B (0.1%)",952 (0.1%)
java.util.Formatter,"56,480 B (0.1%)","1,765 (0.1%)"
java.lang.invoke.ResolvedMethodName,"52,608 B (0.1%)","2,192 (0.1%)"
java.lang.Integer,"52,176 B (0.1%)","3,261 (0.2%)"
short[],"51,520 B (0.1%)",16 (0%)
org.springframework.context.annotation.ConfigurationClassBeanDefinitionReader$ConfigurationClassBeanDefinition,"49,312 B (0.1%)",268 (0%)
